RANK,Name,POS,ADP,BYE,NOTES,gFAN PTS,gYDS Passing,gTDS Pass,gREC Receiving,gYDS  Recieiving,gTDS Reciieving,gATT rushing,gDS rushing,gTDS rushing,yFAN PTS,yYDS Passing,yTDS Pass,yREC Receiving,yYDS  Recieiving,yTDS Reciieving,yATT rushing,yYDS rushing,yTDS rushing
167,Parris Campbell IND ,WR63,177.6,7,"If T.Y. Hilton continues to miss time with his hamstring ailment, Campbell is a candidate for sleeper of the year. Going back through the years with Philip Rivers, there‘s always been a target over the middle of the field. Whether it be Antonio Gates, Hunter Henry, Keenan Allen, or Eddie Royal. Campbell is going to fill the slot role when T.Y. Hilton is healthy, which isn‘t a bad thing. And if Hilton were to miss time, Campbell will move around the formation. Fortunately, he‘s a bigger, stronger, and faster version of Hilton. We haven‘t seen him play at the level Hilton has, but the Colts did draft him in the second round last year, highlighting their vision for him in this offense. While Hilton remains sidelined and rookie Michael Pittman tries to acclimate to the NFL, Campbell is a dark horse to lead this team in targets. Taking him in the double-digit rounds makes tons of sense, and best of all, you‘ll find out what you have over the first couple weeks.",2.9,0,0,2.6,18.1,0.1,0.6,4.9,0,20.1,0,0,18,127,1,4,34,0
168,Nyheim Hines IND ,RB54,169.1,7,"There are some who are pointing at Hines as the primary beneficiary to Philip Rivers’ arrival in Indianapolis, but I‘m not one of them. Did we forget that the Colts dealt with tons of injuries last year and Hines still wound up with just 96 touches on the year? This is still the same coaching staff who didn‘t put him on the field over a guy like Jonathan Williams. Now you add in Jonathan Taylor and Michael Pittman, and he‘s going to get a bigger role? Nah. Let someone else draft him.",4.6,0,0,2.8,20,0,3.3,12.4,0.1,73.9,0,0,44,320,0,52,199,2
169,Harrison Butker KC ,K1,168.1,10,"Butker led the NFL in field-goal attempts and conversions last year, and the Chiefs are nearly always among the league leaders in field-goal attempts. Wait on kicker, obviously, but Butker will be one of the best yet again.",10.4,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0
170,New England (NE) ,DST5,164.1,6,,14.8,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0
171,Justin Tucker BAL ,K2,170.4,8,"To the extent there‘s a sure thing in terms of fantasy kickers, it‘s Tucker, who has finished as a top-12 kicker in every year of his career. The Ravens offense was better than ever last year which limited his opportunities more than usual, but he remains as accurate as ever. Perhaps a 1B to Harrison Butker‘s 1A this year, Tucker should be one of the first kickers off the board.",9.6,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0
172,Michael Pittman Jr. IND ,WR64,173.9,7,"He‘s someone who rapidly moved up draft boards as the NFL Draft approached. The Colts liked him so much that they selected him over Jonathan Taylor (who they then traded up to get a few picks later), so it‘s clear they love Pittman. They did love Parris Campbell in last year‘s draft, too, so we can‘t go overboard. They said the plan is for Pittman to be the “X” receiver in the offense, which should present value with someone like Philip Rivers, who has zero issue throwing into tight coverage, especially when his receiver is 6-foot-4 and 223 pounds. This is your reminder that Mike Williams is 6-foot-4 and 220 pounds, while Vincent Jackson was 6-foot-5 and 230 pounds. These are wide receivers that Rivers targeted relentlessly. Mike Williams averaged just 2.0 yards of separation at target last year, the second-worst mark in football. Can Pittman make it into the starting lineup opening day? If so, Rivers could fall in love with his size, particularly in the red zone. He‘s worth a pick with one of your last few selections, as he‘s a dark horse to lead the team in receiving touchdowns.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,New Orleans (NO) ,DST6,173.9,6,,8.4,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0
174,A.J. Dillon GB ,RB55,168.3,5,"Some believe Dillon is going to walk in and destroy the value of someone like Aaron Jones, while others say he negates the role of Jamaal Williams. I don‘t know if he does either, but when a team spends a second-round pick on a running back, they typically have a plan for them. Over the last seven years, running backs drafted in the second round average 172.3 touches in their rookie season. Dillon is just an early-down back, so he‘ll be extremely touchdown dependent. Knowing how good Jones has been in that role, it‘s tough to take him off the field, so I‘m fine with going the wait-and-see approach with Dillon (and every other non-Jones back in this backfield).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,Ian Thomas CAR ,TE22,182.3,13,"With Greg Olsen out of town, Thomas walks into the starting role. What does that mean under new offensive coordinator Joe Brady? That‘s tough to say, but there‘s suddenly a lot of mouths to feed in this offense. Christian McCaffrey is Thomas’ biggest issue, as there‘s been just one team over the last four years who‘ve had their top running back and top tight end combine for more than 198 targets. Keep in mind that‘s the max. It‘s rare for teams to have that duo combine for more than 180 targets. So, when you see that McCaffrey saw 141 targets last year, that‘s a big issue for someone like Thomas. You aren‘t going to take targets away from McCaffrey to feed him. During Teddy Bridgewater‘s stint as the starter for the Saints last year, Jared Cook finished with 7, 21, 41, and 37 yards, though he did score twice. Those yardage totals are not what we look for out of streamers, and keep in mind there‘s more competition for targets in Carolina than there was in New Orleans. Thomas is someone you may want to stream from time to time, but I don‘t see a breakout season with McCaffrey on the field.",1.2,0,0,1,8.5,0.1,0,0,0,19.6,0,0,16,136,1,0,0,0
176,Chicago (CHI) ,DST7,171.4,11,,6,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0
177,Wil Lutz NO ,K3,179.5,6,"Lutz has everything you want in a kicker. He plays on a strong offense, with his home games inside a dome, and is extremely accurate. He‘s finished the last two seasons as the second-ranked kicker in fantasy and there‘s no reason to expect him to finish outside the top three. Kickers are almost always volatile but Lutz is the exception, so draft him with confidence.",10.2,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0
178,Carlos Hyde SEA ,RB56,178.6,6,"After ranking 12th in rushing yards last year, Hyde accepted a one-year deal with the Seahawks. It seems that he‘s insurance for Rashaad Penny, who‘s expected to start the year on the PUP list. But you never know with Pete Carroll, as he‘s not afraid to shake things up. If Chris Carson struggles coming off his hip injury, or fumbles again, we could see Hyde in a 15-touch role. He‘s worth a pick in one of the last few rounds.",8.9,0,0,0.6,2.6,0,15.3,66.9,0.4,143.2,0,0,10,42,0,245,1070,6
179,Sam Darnold NYJ ,QB27,196.9,11,"It hasn‘t been the start to his career that he‘d hoped for, as Darnold has finished as a QB1-type performer in just 6-of-26 games (23.1 percent). Even lowering the bar to a top-18-type performance, he‘s hit those marks in just 10-of-26 games, and that‘s why it‘s tough to rely on him as your QB2 in Superflex/2QB leagues. On top of those struggles, he‘s now dealing with two brand-new receivers on the perimeter with practically no offseason while playing for Adam Gase. That‘s like the trifecta of bad. Part of the issue has been the offensive line, though the Jets have tried to address that this offseason, snagging three players in free agency, and then another two in the first four rounds of the draft, including the mammoth of a man, Mekhi Becton, in the first round. That‘s an issue in itself, as offensive lines take time to develop continuity/consistency, so expecting that to happen with four or five new starters is going to be an issue. Darnold is just not in a position to succeed right now.",15.6,232.6,1.5,0,0,0,2.5,4.8,0.2,202.16,3024,19,0,0,0,33,62,2
180,Kansas City (KC) ,DST8,183.4,10,,8.5,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0
181,Greg Zuerlein DAL ,K4,185.7,10,"Zuerlein hasn‘t been close to the fantasy stalwart he once was over the last two seasons, as accuracy issues have plagued him as they did earlier in his career. Now with the Cowboys, Zuerlein should have every opportunity to bounce back on a team that provides its kickers with plenty of field goal opportunities. Once the top few kicking options are gone, Zuerlein should be next off the board (in the last round, obviously).",8.1,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0
182,Joshua Kelley LAC ,RB57,176.7,10,"We figured the Chargers might add a running back to replace Melvin Gordon, and it appears Kelley is that guy, though some are torn on whether it‘s him or Justin Jackson to get the bigger workload. Knowing they invested a fourth-round pick on Kelley, it seems likely that he‘ll get the first crack at the job. Realistically, it could be a three-headed backfield between them. This won‘t be the same offense it was with Philip Rivers and we‘re likely to lose some overall potential from a fantasy perspective. But for now, we should assume that Kelley is the handcuff to Ekeler, even though they‘re completely different players.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,Irv Smith Jr. MIN ,TE23,196.1,7,"I‘m not certain how many people know Smith saw just one fewer target than his teammate Kyle Rudolph in 2019, but that was the case. The difference was their touchdowns, as Rudolph scored six times compared to Smith‘s two touchdowns. Will that change in 2020? Well, it wasn‘t due to lack of opportunity, as Smith saw 10 targets in the red zone compared to Rudolph‘s 11 targets. Touchdowns are a very fickle thing and they can flip-flop this year. Smith is the one ascending up, while Rudolph is moving towards the end of his tenure.",2.7,0,0,2.3,19.4,0.1,0,0,0,43.1,0,0,36,311,2,0,0,0
